Distance,Force,CO2,Sleep
48,135,421,0
42,136,421,0
45,132,421,0
49,137,443,0
50,135,443,0
52,133,443,0
52,133,443,0
53,122,443,0
54,131,443,0
54,135,443,0
49,137,443,0
52,137,443,0
54,139,443,0
55,145,443,0
55,146,443,0
53,147,443,0
55,147,443,0
54,143,443,0
53,140,429,0
53,128,429,0
51,121,429,0
49,119,429,0
53,117,429,0
53,112,429,0
45,106,429,0
47,107,429,0
45,103,429,0
42,100,429,0
48,105,429,0
42,106,429,0
42,107,429,0
44,109,429,0
43,111,416,0
40,109,416,0
32,15,591,1
34,15,591,1
32,6,591,1
28,16,591,1
27,15,591,1
33,11,591,1
20,14,591,1
23,15,591,1
29,15,695,1
27,13,695,1
35,10,695,1
34,5,695,1
35,2,695,1
30,7,695,1
35,4,695,1
35,4,695,1
31,5,695,1
33,6,695,1
33,4,695,1
25,8,695,1
30,8,695,1
25,10,695,1
31,22,626,1
33,31,626,1
23,20,626,1
20,27,626,1
22,25,626,1
20,25,626,1
27,16,626,1
23,20,626,1
22,13,626,1
25,1,626,1
23,7,626,1
21,3,626,1
41,26,465,0
41,16,465,0
43,23,465,0
44,20,465,0
45,22,465,0
42,19,465,0
42,20,465,0
43,20,465,0
48,21,465,0
44,14,465,0
42,21,465,0
43,19,465,0
40,18,465,0
42,8,465,0
42,19,412,0
41,18,412,0
41,12,412,0
39,15,412,0
41,15,412,0
43,16,412,0
40,15,412,0
40,16,412,0
39,18,412,0
43,17,412,0
43,16,412,0
40,13,412,0
42,17,412,0
21,118,422,0
21,116,422,0
21,119,422,0
21,115,422,0
21,115,422,0
21,117,422,0
21,115,422,0
21,114,413,0
21,110,413,0
21,115,413,0
21,116,413,0
21,113,413,0
21,117,413,0
21,117,413,0
21,112,413,0
21,114,419,0
21,113,419,0
21,115,419,0
21,114,419,0
21,111,419,0
21,113,419,0
21,110,419,0
21,109,419,0
21,109,416,0
21,104,416,0
21,108,416,0
21,109,416,0
21,111,416,0
21,111,416,0
21,111,416,0
23,131,805,1
23,128,805,1
24,130,805,1
22,118,805,1
22,111,805,1
24,115,805,1
27,108,805,1
23,112,805,1
24,122,805,1
23,125,805,1
28,122,805,1
22,131,633,1
26,131,633,1
26,130,633,1
25,134,633,1
24,128,633,1
21,128,633,1
25,133,633,1
22,132,633,1
24,131,633,1
22,134,633,1
22,134,633,1
23,136,633,1
22,139,633,1
24,136,633,1
23,137,710,1
23,137,710,1
26,138,710,1
26,143,710,1
20,134,710,1
20,136,710,1
20,138,710,1
22,3,400,1
25,4,400,1
26,6,400,1
22,0,400,1
18,4,400,1
23,3,400,1
23,4,400,1
24,5,400,1
24,10,400,1
23,0,400,1
23,5,400,1
20,4,400,1
24,2,400,1
23,5,400,1
26,0,400,1
23,5,400,1
23,5,400,1
22,0,400,1
23,4,400,1
22,3,400,1
25,0,400,1
24,5,400,1
25,5,400,1
23,4,400,1
23,7,400,1
25,3,400,1
23,0,400,1
23,6,400,1
24,4,400,1
26,3,400,1
25,5,400,1
25,4,400,1
23,0,400,1
24,5,400,1
22,3,400,1
23,81,508,1
26,88,508,1
18,79,508,1
24,81,508,1
22,85,508,1
21,84,508,1
22,77,508,1
21,84,508,1
21,80,508,1
23,71,508,1
22,64,508,1
23,70,508,1
24,68,508,1
20,73,508,1
26,62,612,1
21,64,612,1
22,63,612,1
22,56,612,1
22,58,612,1
23,60,612,1
22,60,612,1
20,68,612,1
23,57,612,1
20,59,612,1
20,61,612,1
22,62,612,1
23,54,612,1
23,60,612,1
22,54,612,1
23,57,742,1
20,52,742,1
20,61,742,1
132,130,409,0
137,129,409,0
141,127,409,0
139,129,409,0
132,129,422,0
127,125,422,0
119,125,422,0
117,125,422,0
108,126,422,0
104,124,422,0
114,122,422,0
122,124,422,0
121,128,422,0
112,129,422,0
103,130,422,0
105,132,422,0
105,131,422,0
111,129,422,0
114,125,401,0
111,126,401,0
118,127,401,0
114,127,401,0
118,128,401,0
112,128,401,0
105,128,401,0
101,127,401,0
103,127,401,0
112,128,401,0
116,127,401,0
117,125,401,0
108,125,401,0
104,124,401,0
108,115,613,1
99,117,613,1
92,110,613,1
92,110,613,1
87,111,613,1
88,110,613,1
94,113,613,1
101,113,613,1
107,113,613,1
109,114,613,1
117,115,613,1
123,115,613,1
125,117,613,1
127,120,531,1
131,119,531,1
139,119,531,1
148,118,531,1
148,118,531,1
157,117,531,1
152,117,531,1
158,117,531,1
156,118,531,1
153,118,531,1
159,118,531,1
158,119,531,1
151,117,531,1
147,112,531,1
142,107,531,1
131,107,489,1
120,105,489,1
210,55,400,1
210,49,400,1
213,47,400,1
219,45,400,1
213,34,400,1
223,34,400,1
217,45,400,1
219,42,400,1
221,39,400,1
214,33,401,1
211,41,401,1
212,33,401,1
195,32,401,1
185,39,401,1
185,43,401,1
178,46,401,1
171,48,401,1
171,41,401,1
173,41,401,1
171,44,401,1
162,40,401,1
160,49,401,1
162,45,401,1
164,41,401,1
162,44,400,1
166,47,400,1
174,45,400,1
182,41,400,1
184,49,400,1
190,46,400,1
192,45,400,1
199,44,400,1
176,25,630,1
168,23,630,1
162,16,801,1
155,23,801,1
150,16,801,1
145,21,801,1
140,19,801,1
138,16,801,1
139,14,801,1
131,16,801,1
132,5,801,1
131,15,801,1
137,15,801,1
142,14,801,1
149,14,801,1
153,19,801,1
165,14,801,1
168,17,824,1
175,14,824,1
173,14,824,1
166,15,824,1
159,15,824,1
154,16,824,1
150,8,824,1
146,14,824,1
145,18,824,1
143,16,824,1
136,16,824,1
137,15,824,1
41,127,459,0
41,123,459,0
39,115,459,0
38,121,443,0
41,121,443,0
39,122,443,0
41,124,443,0
41,120,443,0
41,124,443,0
39,121,443,0
41,120,443,0
39,119,443,0
40,120,443,0
43,121,443,0
39,123,443,0
40,115,443,0
40,109,443,0
37,114,441,0
41,123,441,0
39,124,441,0
39,123,441,0
40,127,441,0
39,125,441,0
37,110,441,0
38,123,441,0
38,123,441,0
37,124,441,0
41,136,441,0
38,119,441,0
39,114,441,0
39,127,441,0
41,125,441,0
38,120,417,0
41,119,417,0
40,116,417,0
